millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
83674,2,3.37,0.50,9.0,0.3,0.51,0.-7,2.37,6.19,93319.57,688.41
83708,2,3.17,1.7,10.61,0.5,0.89,0.-16,2.43,6.20,93322.82,688.41
83742,2,1.81,1.92,11.58,0.14,0.23,0.-21,2.37,6.19,93333.66,688.70
83777,2,1.69,1.73,9.74,0.18,0.2,0.-15,2.37,6.19,93326.7,688.70
83811,2,1.49,0.83,8.85,0.12,0.34,0.-5,2.43,6.19,93331.49,688.51
83845,2,1.58,1.29,9.56,0.9,0.29,0.0,2.37,6.19,93317.39,688.32
83879,2,0.70,0.67,9.56,0.11,0.56,0.2,2.43,6.19,93321.74,688.22
83913,2,1.0,0.60,9.32,0.10,1.0,0.0,2.37,6.19,93329.32,688.70
83947,2,0.61,0.95,10.1,0.7,1.10,0.-5,2.37,6.19,93328.23,688.32
83981,2,1.8,0.84,10.66,0.6,0.76,0.-8,2.43,6.19,93327.16,688.32
84015,2,0.72,1.33,10.71,0.10,0.63,0.-12,2.50,6.19,93319.57,688.99
84050,2,0.-83,1.54,10.80,0.7,0.26,0.-11,2.43,6.19,93323.90,688.22
84084,2,0.-61,1.30,10.26,0.5,0.-23,0.0,2.43,6.18,93321.74,688.22
84118,2,1.27,1.48,10.82,0.4,0.-43,0.4,2.37,6.19,93322.82,688.22
84153,2,0.61,1.36,10.30,0.3,0.-34,0.3,2.43,6.19,93322.82,688.61
84187,2,0.21,0.77,9.98,0.-2,0.-87,0.8,2.43,6.19,93321.74,688.22
84221,2,0.-16,2.15,9.56,0.-4,0.-87,0.11,2.43,6.19,93342.32,685.43
84255,2,1.26,1.24,9.61,0.-3,0.-44,0.11,2.37,6.18,93344.49,687.35
84289,2,1.46,0.60,10.26,0.-3,0.-49,0.4,2.37,6.19,93328.23,688.3
84324,2,1.13,0.66,9.90,0.1,0.-55,0.-5,2.37,6.19,93326.7,688.80
84358,2,0.99,1.39,9.96,0.7,0.-45,0.-14,2.43,6.20,93324.98,688.51
84392,2,0.92,1.0,10.35,0.11,0.-49,0.-16,2.43,6.19,93330.40,688.80
84426,2,1.55,0.74,10.21,0.14,0.-58,0.-11,2.43,6.19,93326.7,688.51
84460,2,1.91,1.81,9.69,0.13,0.-43,0.-8,2.43,6.19,93323.90,688.3
84494,2,1.99,2.52,10.8,0.5,0.-52,0.-3,2.43,6.19,93329.32,688.70
84528,2,2.36,1.33,9.18,0.0,0.-76,0.0,2.43,6.19,93328.24,688.3
84562,2,2.50,0.70,9.33,0.-6,0.-55,0.1,2.43,6.18,93321.73,688.13
84597,2,1.41,1.0,10.56,0.-13,0.-70,0.5,2.43,6.19,93321.73,688.22
84631,2,2.29,0.63,8.95,0.-13,-1.-4,0.13,2.43,6.20,93327.14,688.70
84665,2,3.68,0.84,9.71,0.-12,0.-81,0.11,2.50,6.18,93320.64,688.70
84699,2,4.9,0.93,10.99,0.-8,-1.-16,0.2,2.37,6.19,93322.82,688.32
84733,2,4.27,0.89,10.29,0.-2,-1.-96,0.-6,2.37,6.19,93324.98,688.22
84767,2,3.65,1.11,7.99,0.-2,-1.-89,0.-3,2.37,6.19,93326.7,688.51
84801,2,4.47,1.11,9.51,0.-7,-1.-49,0.6,2.37,6.19,93319.57,688.3
84836,2,5.3,0.79,9.80,0.-9,-2.-34,0.12,2.43,6.19,93323.89,688.61
84870,2,7.10,0.59,7.72,0.-8,-2.-42,0.11,2.43,6.19,93323.89,687.84
84904,2,7.38,0.29,8.79,0.-6,-2.-42,0.5,2.37,6.19,93321.73,688.42
84938,2,7.80,0.-2,6.64,0.-6,-2.-78,0.2,2.43,6.18,93326.7,688.51
84972,2,7.24,0.88,4.33,0.-11,-2.-91,0.5,2.31,6.19,93327.15,688.42
85006,2,7.46,0.79,5.38,0.-13,-1.-94,0.9,2.37,6.18,93317.39,688.61
85040,2,8.42,0.60,5.90,0.-2,-1.-92,0.14,2.37,6.19,93321.73,688.42
85074,2,8.20,0.80,2.97,0.5,-1.-86,0.14,2.37,6.19,93331.49,688.42
85109,2,7.92,0.5,2.74,0.2,0.-95,0.14,2.43,6.19,93324.98,688.51
85143,2,7.98,0.22,3.57,0.0,0.-80,0.19,2.31,6.19,93322.82,689.19
85178,2,7.94,0.91,3.5,0.-2,0.-93,0.24,2.37,6.18,93328.24,688.32
85212,2,10.4,0.5,3.34,0.-4,0.-64,0.22,2.37,6.20,93317.39,688.90
85246,2,9.96,0.48,3.83,0.-3,0.-60,0.9,2.43,6.19,93315.23,688.61
85280,2,9.34,0.27,2.18,0.-2,0.-67,0.-1,2.43,6.19,93323.89,688.32
85314,2,9.69,0.-19,3.2,0.-4,0.-67,0.-5,2.37,6.18,93320.64,688.80
85348,2,9.52,0.21,3.38,0.0,0.-92,0.-3,2.37,6.18,93329.32,688.42
85383,2,10.17,0.33,2.27,0.2,-1.-9,0.-2,2.37,6.19,93327.14,688.42
85417,2,9.86,0.6,1.16,0.0,0.-84,0.-1,2.43,6.19,93330.40,688.61
85451,2,9.39,0.18,1.0,0.-2,0.-78,0.0,2.37,6.19,93326.7,688.22
